Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Le Ours;35; 68 ; 68 ; 1
Le Ours;35; 68 ; 67 ; 1
Le Ours;35; 67 ; 67 ; 2
Le Ours;35; 67 ; 67 ; 1
Le Ours;35; 67 ; 67 ; 1
Le Ours;35; 67 ; 67 ; 1
Le Ours;35; 67 ; 66 ; 2
Le Ours;35; 66 ; 66 ; 2
Le Ours;35; 66 ; 66 ; 1
Le Ours;35; 66 ; 65 ; 3
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 65 ; 1
Le Ours;35; 65 ; 64 ; 1
Le Ours;35; 64 ; 64 ; 3
Le Ours;35; 64 ; 63 ; 1
Le Ours;35; 63 ; 63 ; 1
Le Ours;35; 63 ; 63 ; 1
Le Ours;35; 63 ; 63 ; 1
Le Ours;35; 63 ; 63 ; 1
Le Ours;35; 63 ; 63 ; 1
Le Ours;35; 63 ; 62 ; 2
Le Ours;35; 62 ; 62 ; 1
Le Ours;35; 62 ; 62 ; 1
Le Ours;35; 62 ; 62 ; 1
Le Ours;35; 62 ; 62 ; 1
Le Ours;35; 62 ; 62 ; 1
Le Ours;35; 62 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 61 ; 1
Le Ours;35; 61 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 60 ; 1
Le Ours;35; 60 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 59 ; 1
Le Ours;35; 59 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 58 ; 1
Le Ours;35; 58 ; 57 ; 2
Le Ours;35; 57 ; 57 ; 1
Le Ours;35; 57 ; 57 ; 2
Le Ours;35; 57 ; 57 ; 1
Le Ours;35; 57 ; 57 ; 1
Le Ours;35; 57 ; 57 ; 1
Le Ours;35; 57 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 56 ; 1
Le Ours;35; 56 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 55 ; 1
Le Ours;35; 55 ; 54 ; 2
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 54 ; 1
Le Ours;35; 54 ; 53 ; 2
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 53 ; 1
Le Ours;35; 53 ; 52 ; 2
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
Le Ours;35; 52 ; 52 ; 1
